"","X","Data.Precipitation","Date.Full","Data.Temperature.Avg.Temp","Data.Temperature.Max.Temp","Data.Temperature.Min.Temp","Data.Wind.Direction","Data.Wind.Speed","city"
"59",59,0,"2016-01-03",39,44,33,8,18.8,"Mombasa"
"60",60,0,"2016-01-03",51,62,39,12,4.9,"Nakuru"
"61",61,0,"2016-01-03",51,63,37,21,3.86,"Nairobi"
"62",62,0,"2016-01-03",42,51,33,26,1.86,"Malindi"
"63",63,0,"2016-01-03",14,33,-5,32,1.4,"Nairobi"
"64",64,0,"2016-01-03",28,45,9,15,3.13,"Mombasa"
"65",65,0,"2016-01-03",-10,3,-23,12,0.4,"Kisumu"
"66",66,0,"2016-01-03",27,40,12,20,7.2,"Nairobi"
"67",67,0,"2016-01-03",14,24,4,8,4.46,"Nakuru"
"68",68,0,"2016-01-03",26,47,4,27,1.93,"Mombasa"
"69",69,0,"2016-01-03",38,43,32,27,8.86,"Nairobi"
"70",70,0,"2016-01-03",34,40,27,24,6.2,"Nakuru"
"71",71,0,"2016-01-03",37,46,27,28,6.43,"Malindi"
"72",72,0,"2016-01-03",37,46,27,28,6.43,"Mombasa"
"73",73,0.75,"2016-01-03",63,68,58,32,6.23,"Eldoret"
"74",74,0.49,"2016-01-03",76,82,70,28,5.16,"Nakuru"
"75",75,0.62,"2016-01-03",56,62,51,33,4.6,"Malindi"
"76",76,0.49,"2016-01-03",56,61,50,31,4.83,"Mombasa"
"77",77,0.5,"2016-01-03",79,82,74,17,4.53,"Kisumu"
"78",78,1.13,"2016-01-03",76,82,70,17,3.33,"Mombasa"
"79",79,0.14,"2016-01-03",65,72,57,31,6.93,"Nairobi"
"80",80,0.12,"2016-01-03",48,52,44,35,9.33,"Kisumu"
"81",81,0.46,"2016-01-03",53,57,48,34,6.16,"Mombasa"
"82",82,0.18,"2016-01-03",66,71,59,8,5.73,"Mombasa"
"83",83,0.97,"2016-01-03",69,74,62,28,6.9,"Malindi"
"84",84,0.24,"2016-01-03",74,80,67,27,6.83,"Eldoret"
"85",85,0.66,"2016-01-03",51,58,47,32,5.06,"Mombasa"
"86",86,0,"2016-01-03",45,54,36,29,5.1,"Mombasa"
"87",87,0,"2016-01-03",42,48,36,31,10.93,"Kisumu"
"88",88,0,"2016-01-03",48,56,41,31,3.06,"Malindi"
"89",89,0.01,"2016-01-03",47,53,40,31,5.46,"Nairobi"
"90",90,0.41,"2016-01-03",56,62,49,31,5,"Malindi"
"91",91,0.11,"2016-01-03",73,81,65,20,3.33,"Mombasa"
"92",92,0,"2016-01-03",73,81,64,24,5.13,"Kisumu"
"93",93,0.04,"2016-01-03",71,80,60,3,8.4,"Mombasa"
"94",94,0.04,"2016-01-03",72,79,64,14,8.86,"Nairobi"
"95",95,0,"2016-01-03",70,79,60,23,6.06,"Malindi"
"96",96,0,"2016-01-03",15,23,7,16,3,"Malindi"
"97",97,0,"2016-01-03",21,29,12,9,2.56,"Eldoret"
"98",98,0,"2016-01-03",8,21,-4,2,2.66,"Eldoret"
"99",99,0,"2016-01-03",25,30,20,28,12.16,"Nakuru"
"100",100,0,"2016-01-03",25,31,19,28,10.9,"Eldoret"
"101",101,0,"2016-01-03",29,35,22,28,8.2,"Malindi"
"102",102,0,"2016-01-03",29,35,22,28,10.53,"Mombasa"
"103",103,0,"2016-01-03",24,30,18,28,9.73,"Mombasa"
"104",104,0,"2016-01-03",31,37,24,27,9.96,"Mombasa"
"105",105,0,"2016-01-03",35,43,27,27,6.06,"Nakuru"
"106",106,0,"2016-01-03",29,31,25,26,13.2,"Kisumu"
"107",107,0,"2016-01-03",29,34,24,26,10.73,"Nakuru"
"108",108,0.03,"2016-01-03",27,30,23,26,11.83,"Malindi"
"109",109,0,"2016-01-03",22,28,15,28,11.46,"Mombasa"
"110",110,0,"2016-01-03",24,32,16,30,10,"Nakuru"
"111",111,0,"2016-01-03",21,27,14,28,11.86,"Nakuru"
"112",112,0,"2016-01-03",21,31,11,30,8.63,"Nakuru"
"113",113,0,"2016-01-03",22,29,13,28,11.06,"Kisumu"
"114",114,0,"2016-01-03",31,43,18,29,8.96,"Nakuru"
"115",115,0,"2016-01-03",31,46,16,31,8.36,"Mombasa"
"116",116,0,"2016-01-03",30,46,13,28,8.1,"Malindi"
"117",117,0,"2016-01-03",34,49,19,32,4.9,"Nairobi"
"118",118,0,"2016-01-03",32,43,22,29,5.96,"Nakuru"
"119",119,0,"2016-01-03",33,45,21,29,5.96,"Nakuru"
"120",120,0,"2016-01-03",33,39,27,26,7.73,"Malindi"
"121",121,0,"2016-01-03",37,45,28,24,2.93,"Kisumu"
"122",122,0,"2016-01-03",35,42,27,25,7.93,"Nairobi"
"123",123,0,"2016-01-03",38,45,31,27,6.7,"Nairobi"
"124",124,0,"2016-01-03",36,47,25,27,5.6,"Nakuru"
"125",125,0.09,"2016-01-03",47,53,40,23,3.43,"Eldoret"
"126",126,0.08,"2016-01-03",47,52,43,12,8.33,"Nakuru"
"127",127,0.59,"2016-01-03",50,54,46,13,11.93,"Mombasa"
"128",128,0,"2016-01-03",46,53,39,21,5.36,"Nairobi"
"129",129,0.22,"2016-01-03",47,53,42,23,6.66,"Malindi"
"130",130,0,"2016-01-03",29,35,22,24,4.6,"Kisumu"
"131",131,0.1,"2016-01-03",23,29,17,25,5.66,"Eldoret"
"132",132,0.01,"2016-01-03",34,39,28,24,7.53,"Mombasa"
"133",133,0,"2016-01-03",37,48,26,27,5.36,"Eldoret"
"134",134,0,"2016-01-03",38,48,28,27,3.46,"Kisumu"
"135",135,0,"2016-01-03",37,41,31,25,11.83,"Nakuru"
"136",136,0,"2016-01-03",60,60,60,25,11.6,"Nairobi"
"137",137,0,"2016-01-03",31,35,26,25,11.56,"Mombasa"
"138",138,0.01,"2016-01-03",27,32,21,26,8.96,"Eldoret"
"139",139,0,"2016-01-03",32,36,27,24,12.96,"Malindi"
"140",140,0.05,"2016-01-03",31,34,27,27,11.13,"Nairobi"
"141",141,0.04,"2016-01-03",30,33,26,27,13.3,"Nairobi"
"142",142,0.08,"2016-01-03",26,30,21,27,11.16,"Malindi"
"143",143,0.04,"2016-01-03",29,32,25,26,12.5,"Malindi"
"144",144,0.21,"2016-01-03",23,27,18,0,0,"Malindi"
"145",145,0,"2016-01-03",31,35,27,28,13.23,"Mombasa"
"146",146,0.04,"2016-01-03",24,31,17,28,9.56,"Kisumu"
"147",147,0,"2016-01-03",22,27,17,30,11.56,"Malindi"
"148",148,0,"2016-01-03",21,25,15,29,7.76,"Nakuru"
"149",149,0,"2016-01-03",23,30,16,28,9.36,"Mombasa"
"150",150,0,"2016-01-03",19,26,13,29,13.73,"Mombasa"
"151",151,0,"2016-01-03",20,29,10,29,9.03,"Kisumu"
"152",152,0,"2016-01-03",42,48,35,30,4.56,"Nakuru"
"153",153,0,"2016-01-03",40,48,32,23,2.36,"Mombasa"
"154",154,0.38,"2016-01-03",47,52,42,35,9.76,"Nakuru"
"155",155,0.02,"2016-01-03",46,51,40,34,5.76,"Nairobi"
"156",156,0,"2016-01-03",44,50,38,33,5.43,"Eldoret"
"157",157,0.01,"2016-01-03",43,49,36,34,5.56,"Nakuru"
"158",158,0,"2016-01-03",40,50,31,23,4.13,"Nairobi"
"159",159,0,"2016-01-03",37,46,27,29,5.96,"Kisumu"
"160",160,0,"2016-01-03",33,41,24,28,9.26,"Malindi"
"161",161,0,"2016-01-03",29,38,20,28,8.13,"Malindi"
"162",162,0,"2016-01-03",33,41,24,27,8.63,"Kisumu"
"163",163,0,"2016-01-03",35,45,23,28,7.5,"Malindi"
"164",164,0,"2016-01-03",26,36,16,28,5.5,"Eldoret"
"165",165,0,"2016-01-03",36,43,29,28,9.03,"Mombasa"
"166",166,0,"2016-01-03",23,29,16,22,18.86,"Kisumu"
"167",167,0,"2016-01-03",0,13,-12,15,1.8,"Mombasa"
"168",168,0,"2016-01-03",8,22,-6,21,4.83,"Eldoret"
"169",169,0,"2016-01-03",7,16,-2,19,6.4,"Malindi"
"170",170,0,"2016-01-03",8,18,-1,23,6.16,"Kisumu"
"171",171,0,"2016-01-03",17,27,7,22,11,"Malindi"
"172",172,0,"2016-01-03",10,20,0,18,9,"Malindi"
"173",173,0,"2016-01-03",3,12,-5,23,0.53,"Nairobi"
"174",174,0.01,"2016-01-03",6,16,-3,31,1.6,"Nairobi"
"175",175,0,"2016-01-03",19,31,6,21,6.26,"Mombasa"
"176",176,0,"2016-01-03",7,16,-2,12,2.33,"Nairobi"
"177",177,0,"2016-01-03",26,37,15,30,9.03,"Nairobi"
"178",178,0,"2016-01-03",26,36,16,18,5.7,"Kisumu"
"179",179,0,"2016-01-03",22,32,12,29,9.43,"Kisumu"
"180",180,0,"2016-01-03",26,43,8,30,6.7,"Eldoret"
"181",181,0,"2016-01-03",22,31,12,31,6.83,"Malindi"
"182",182,0,"2016-01-03",18,31,5,21,6.36,"Kisumu"
"183",183,0,"2016-01-03",21,33,8,28,10.86,"Mombasa"
"184",184,0,"2016-01-03",20,34,7,26,7.8,"Nairobi"
"185",185,0,"2016-01-03",7,22,-8,26,3.46,"Eldoret"
"186",186,0,"2016-01-03",12,24,-7,12,3.4,"Malindi"
"187",187,0,"2016-01-03",44,52,35,24,1.03,"Mombasa"
"188",188,0,"2016-01-03",39,47,30,9,7.96,"Nairobi"
"189",189,0,"2016-01-03",22,29,15,18,2.96,"Mombasa"
"190",190,0,"2016-01-03",12,25,-1,8,6.6,"Nairobi"
"191",191,0,"2016-01-03",34,39,29,24,6.16,"Mombasa"
"192",192,0,"2016-01-03",60,60,60,27,52.6,"Malindi"
"193",193,0,"2016-01-03",36,46,26,28,6.26,"Mombasa"
"194",194,0,"2016-01-03",37,44,30,25,10.1,"Nairobi"
"195",195,0,"2016-01-03",31,38,23,27,4.63,"Malindi"
"196",196,0,"2016-01-03",31,46,15,27,5.06,"Kisumu"
"197",197,0.02,"2016-01-03",27,36,17,17,1.8,"Kisumu"
"198",198,0.01,"2016-01-03",33,38,28,25,6.23,"Mombasa"
"199",199,0.01,"2016-01-03",25,30,21,26,8.86,"Nairobi"
"200",200,0.13,"2016-01-03",29,34,23,26,13.73,"Nakuru"
"201",201,0.01,"2016-01-03",33,37,29,21,7.3,"Mombasa"
"202",202,0,"2016-01-03",37,44,30,27,8.63,"Eldoret"
"203",203,0,"2016-01-03",40,43,35,27,11.7,"Nairobi"
"204",204,0.05,"2016-01-03",28,34,22,26,11.23,"Nakuru"
"205",205,0.19,"2016-01-03",29,34,23,24,11.5,"Malindi"
"206",206,0,"2016-01-03",39,46,30,34,10.16,"Nairobi"
"207",207,0.16,"2016-01-03",50,56,44,21,4.43,"Kisumu"
"208",208,0,"2016-01-03",43,53,33,18,2.3,"Malindi"
"209",209,0,"2016-01-03",41,51,31,30,4.2,"Mombasa"
"210",210,0,"2016-01-03",43,53,32,31,2.36,"Nakuru"
"211",211,0,"2016-01-03",43,52,35,27,1.86,"Nairobi"
"212",212,0.63,"2016-01-03",48,56,40,32,5.03,"Nakuru"
"213",213,0,"2016-01-03",21,30,12,25,7.9,"Kisumu"
"214",214,0,"2016-01-03",20,30,9,25,10.76,"Malindi"
"215",215,0,"2016-01-03",20,28,12,27,7.8,"Nairobi"
"216",216,0,"2016-01-03",19,28,10,28,9.46,"Kisumu"
"217",217,0,"2016-01-03",21,26,9,24,8.1,"Malindi"
"218",218,0.05,"2016-01-03",29,32,25,26,11.4,"Nairobi"
"219",219,0.02,"2016-01-03",29,32,26,25,12.43,"Kisumu"
"220",220,0,"2016-01-03",31,35,26,26,8.53,"Eldoret"
"221",221,0,"2016-01-03",30,35,24,26,11.93,"Eldoret"
"222",222,0,"2016-01-03",27,31,23,24,11.46,"Eldoret"
"223",223,0,"2016-01-03",29,31,25,26,12.7,"Mombasa"
"224",224,0.03,"2016-01-03",28,32,24,25,11.23,"Nairobi"
"225",225,0,"2016-01-03",33,47,18,28,5.46,"Kisumu"
"226",226,0,"2016-01-03",35,46,24,30,7.16,"Malindi"
"227",227,0,"2016-01-03",33,47,20,28,3.96,"Nakuru"
"228",228,0,"2016-01-03",36,48,24,29,5.1,"Nakuru"
"229",229,0.21,"2016-01-03",36,42,30,9,9.46,"Mombasa"
"230",230,0.06,"2016-01-03",7,21,-6,11,3.5,"Nairobi"
"231",231,0.06,"2016-01-03",30,36,23,1,7.86,"Mombasa"
"232",232,0.01,"2016-01-03",34,43,24,9,3.4,"Eldoret"
"233",233,0.01,"2016-01-03",19,20,17,12,4,"Nakuru"
"234",234,0.31,"2016-01-03",32,35,29,9,19.93,"Eldoret"
"235",235,0,"2016-01-03",15,24,6,32,2.8,"Mombasa"
"236",236,0.29,"2016-01-03",32,38,25,34,7.13,"Nakuru"
"237",237,0,"2016-01-03",34,41,25,27,8.3,"Nakuru"
"238",238,0.31,"2016-01-03",29,33,26,24,13.96,"Nairobi"
"239",239,0,"2016-01-03",36,43,29,30,8.8,"Malindi"
"240",240,0,"2016-01-03",39,45,31,27,8.3,"Kisumu"
"241",241,0.01,"2016-01-03",31,35,27,25,9.53,"Nakuru"
"242",242,0,"2016-01-03",32,35,28,25,9.13,"Kisumu"
"243",243,0.01,"2016-01-03",31,35,25,26,7.83,"Eldoret"
"244",244,0.05,"2016-01-03",77,83,71,10,5.9,"Malindi"
"245",245,0,"2016-01-03",36,43,28,26,7.36,"Mombasa"
"246",246,0,"2016-01-03",45,54,35,30,1.13,"Mombasa"
"247",247,0.55,"2016-01-03",53,61,45,22,3.86,"Malindi"
"248",248,0,"2016-01-03",49,57,40,21,2.3,"Nairobi"
"249",249,0,"2016-01-03",45,55,35,19,2.53,"Kisumu"
"250",250,0,"2016-01-03",18,29,7,26,6.16,"Nakuru"
"251",251,0,"2016-01-03",18,26,9,29,8.4,"Eldoret"
"252",252,0,"2016-01-03",22,29,15,27,10.5,"Eldoret"
"253",253,0,"2016-01-03",24,37,11,26,3.26,"Mombasa"
"254",254,0,"2016-01-03",18,26,9,30,7.2,"Eldoret"
"255",255,0,"2016-01-03",34,44,24,23,3.93,"Eldoret"
"256",256,0,"2016-01-03",40,48,31,35,3.6,"Nairobi"
"257",257,0,"2016-01-03",37,47,27,28,5.66,"Nairobi"
"258",258,0,"2016-01-03",34,44,24,29,4.23,"Malindi"
"259",259,0,"2016-01-03",36,45,27,26,2.5,"Mombasa"
"260",260,0,"2016-01-03",40,51,29,30,3.53,"Malindi"
"261",261,0,"2016-01-03",39,50,28,29,3.73,"Nairobi"
"262",262,0,"2016-01-03",37,47,27,18,0.5,"Nairobi"
"263",263,0,"2016-01-03",41,47,34,20,5.76,"Mombasa"
"264",264,0,"2016-01-03",34,45,22,29,4.73,"Malindi"
"265",265,0.22,"2016-01-03",46,53,40,22,8,"Kisumu"
"266",266,0.2,"2016-01-03",47,52,42,22,4.1,"Mombasa"
"267",267,0.02,"2016-01-03",48,53,43,11,9.56,"Nakuru"
"268",268,1.54,"2016-01-03",47,50,42,32,13.2,"Kisumu"
"269",269,0,"2016-01-03",38,47,29,30,4.63,"Eldoret"
"270",270,0.01,"2016-01-03",48,53,43,33,7.73,"Nakuru"
"271",271,1.81,"2016-01-03",47,51,42,35,13.03,"Eldoret"
"272",272,0,"2016-01-03",35,50,19,29,4.23,"Eldoret"
"273",273,0,"2016-01-03",44,51,36,33,4.9,"Nakuru"
"274",274,0,"2016-01-03",46,53,38,32,6.73,"Nairobi"
"275",275,0.57,"2016-01-03",47,51,42,22,3.16,"Nairobi"
"276",276,0,"2016-01-03",37,44,31,4,5,"Mombasa"
"277",277,0,"2016-01-03",44,52,36,31,5.93,"Nairobi"
"278",278,0.23,"2016-01-03",49,52,44,12,13.9,"Eldoret"
"279",279,0.09,"2016-01-03",50,54,45,11,9.56,"Eldoret"
"280",280,0,"2016-01-03",34,43,25,21,5.1,"Kisumu"
"281",281,0.04,"2016-01-03",37,43,31,21,6.4,"Mombasa"
"282",282,0,"2016-01-03",42,48,35,19,4.93,"Mombasa"
"283",283,1.04,"2016-01-03",47,52,41,22,6.2,"Kisumu"
"284",284,1.29,"2016-01-03",47,52,42,22,8.46,"Nairobi"
"285",285,0,"2016-01-03",45,51,39,33,6.26,"Eldoret"
"286",286,0,"2016-01-03",40,48,31,31,8.06,"Malindi"
"287",287,0,"2016-01-03",15,24,7,32,1.6,"Kisumu"
"288",288,0,"2016-01-03",41,49,33,28,9.33,"Mombasa"
"289",289,0.03,"2016-01-03",31,35,26,23,6.5,"Nairobi"
"290",290,0,"2016-01-03",39,49,29,25,3.6,"Eldoret"
"291",291,0,"2016-01-03",45,51,39,16,4.7,"Kisumu"
"292",292,0,"2016-01-03",41,51,30,27,3.6,"Nairobi"
"293",293,0,"2016-01-03",41,49,33,28,9.33,"Malindi"
"294",294,0,"2016-01-03",41,49,33,28,4.26,"Mombasa"
"295",295,0,"2016-01-03",41,49,33,29,4.83,"Mombasa"
"296",296,0.07,"2016-01-03",10,22,-2,24,6.2,"Eldoret"
"297",297,0.07,"2016-01-03",12,20,3,34,7.2,"Mombasa"
"298",298,0.02,"2016-01-03",26,37,14,11,0.5,"Mombasa"
"299",299,0,"2016-01-03",34,46,22,6,2.53,"Eldoret"
"300",300,0.02,"2016-01-03",35,42,28,6,4.96,"Malindi"
"301",301,0.09,"2016-01-03",12,20,3,2,5.2,"Eldoret"
"302",302,0.26,"2016-01-03",16,24,8,30,3.2,"Nairobi"
"303",303,0,"2016-01-03",33,40,26,27,7.6,"Kisumu"
"304",304,0,"2016-01-03",37,43,31,24,7.23,"Mombasa"
"305",305,0,"2016-01-03",32,38,27,24,5.26,"Malindi"
"306",306,0,"2016-01-03",36,43,28,24,6.23,"Nairobi"
"307",307,0,"2016-01-03",23,28,17,27,9.4,"Nairobi"
"308",308,0,"2016-01-03",25,32,17,27,8.16,"Mombasa"
"309",309,0,"2016-01-03",24,29,18,28,5.6,"Eldoret"
"310",310,0,"2016-01-03",26,30,21,28,10.96,"Kisumu"
"311",311,0,"2016-01-03",21,28,13,22,16.13,"Eldoret"
"312",312,0,"2016-01-03",23,38,7,27,8.33,"Malindi"
"313",313,0,"2016-01-03",11,21,0,27,0.43,"Nakuru"
"314",314,0,"2016-01-03",3,19,-13,16,1.9,"Mombasa"
"315",315,0,"2016-01-03",22,36,7,21,0.8,"Malindi"
"316",316,0.52,"2016-01-10",44,52,36,12,6.55,"Malindi"
"317",317,0.43,"2016-01-10",43,50,34,13,8.34,"Nairobi"
"318",318,0.13,"2016-01-10",49,57,39,14,6.58,"Malindi"
"319",319,0.11,"2016-01-10",47,55,38,15,7.55,"Mombasa"
"320",320,0,"2016-01-10",28,33,22,12,4.02,"Mombasa"
"321",321,0.48,"2016-01-10",36,43,27,24,5.42,"Nakuru"
"322",322,0.03,"2016-01-10",28,35,21,7,18,"Eldoret"
"323",323,0,"2016-01-10",6,19,-2,29,3.98,"Mombasa"
"324",324,2.35,"2016-01-10",32,35,29,22,14.3,"Nairobi"
"325",325,0.81,"2016-01-10",35,42,29,12,5.88,"Kisumu"
"326",326,0,"2016-01-10",13,17,9,11,18.5,"Nakuru"
"327",327,0,"2016-01-10",2,12,-7,7,1.58,"Kisumu"
"328",328,0,"2016-01-10",0,7,-6,33,1.35,"Kisumu"
"329",329,1.75,"2016-01-10",37,42,31,7,9.45,"Eldoret"
"330",330,0,"2016-01-10",37,41,33,11,14.15,"Eldoret"
"331",331,0.33,"2016-01-10",27,31,22,13,1.81,"Malindi"
"332",332,0.03,"2016-01-10",30,35,25,3,13.51,"Nairobi"
"333",333,1.33,"2016-01-10",34,39,28,23,5.17,"Nakuru"
"334",334,0.04,"2016-01-10",35,41,29,8,14.55,"Malindi"
"335",335,2.66,"2016-01-10",37,41,33,11,16.28,"Malindi"
"336",336,0.03,"2016-01-10",23,27,18,10,18.08,"Malindi"
"337",337,0,"2016-01-10",14,24,4,21,1.72,"Kisumu"
"338",338,0.09,"2016-01-10",29,32,24,7,16.57,"Kisumu"
"339",339,0,"2016-01-10",-13,-8,-19,18,0.32,"Nairobi"
"340",340,0,"2016-01-10",27,36,21,21,8.87,"Nairobi"
"341",341,0,"2016-01-10",60,60,60,20,2.34,"Mombasa"
"342",342,0,"2016-01-10",60,60,60,0,0,"Nairobi"
"343",343,0,"2016-01-10",60,60,60,32,14,"Nakuru"
"344",344,0.13,"2016-01-10",39,43,33,16,6.31,"Mombasa"
"345",345,0.12,"2016-01-10",33,36,29,9,18.64,"Kisumu"
"346",346,0.77,"2016-01-10",32,36,29,23,18.52,"Nairobi"
"347",347,0,"2016-01-10",24,32,16,6,5.15,"Eldoret"
"348",348,0,"2016-01-10",9,16,1,9,4.65,"Nakuru"
"349",349,0.05,"2016-01-10",8,16,0,10,12.25,"Nakuru"
"350",350,1.26,"2016-01-10",33,39,25,7,2.42,"Mombasa"
"351",351,1.16,"2016-01-10",41,52,30,25,4.5,"Mombasa"
"352",352,0.61,"2016-01-10",42,49,34,18,5.17,"Kisumu"
"353",353,1.13,"2016-01-10",52,57,47,14,3.64,"Eldoret"
"354",354,1.53,"2016-01-10",48,56,41,17,4.98,"Mombasa"
"355",355,0.12,"2016-01-10",35,45,25,19,3.81,"Malindi"
"356",356,0.37,"2016-01-10",38,44,30,17,7.5,"Malindi"
"357",357,0.79,"2016-01-10",34,42,26,19,7.78,"Nakuru"
"358",358,1.63,"2016-01-10",40,47,32,0,0,"Malindi"
"359",359,0.69,"2016-01-10",51,58,43,13,1.75,"Malindi"
"360",360,0.16,"2016-01-10",36,48,24,24,5.4,"Malindi"
"361",361,0,"2016-01-10",43,52,34,19,3.8,"Mombasa"
"362",362,1.83,"2016-01-10",49,54,44,18,2.94,"Mombasa"
"363",363,2.49,"2016-01-10",49,55,42,0,0,"Eldoret"
"364",364,1.28,"2016-01-10",47,54,41,17,3.42,"Kisumu"
"365",365,1.15,"2016-01-10",51,56,46,11,5.81,"Nakuru"
"366",366,1.96,"2016-01-10",55,62,48,23,1.58,"Nairobi"
"367",367,2.73,"2016-01-10",55,60,49,23,3.04,"Nairobi"
"368",368,3.59,"2016-01-10",46,51,42,26,5.14,"Eldoret"
"369",369,4.71,"2016-01-10",45,51,40,18,2.5,"Malindi"
"370",370,2.27,"2016-01-10",48,53,41,19,4.04,"Malindi"
"371",371,1.09,"2016-01-10",51,56,45,12,8.04,"Kisumu"
"372",372,2.98,"2016-01-10",57,61,53,19,3.62,"Mombasa"
"373",373,2.17,"2016-01-10",51,54,47,10,4.45,"Malindi"
"374",374,1.89,"2016-01-10",39,43,34,19,9.58,"Mombasa"
"375",375,4.15,"2016-01-10",54,60,47,17,2.22,"Kisumu"
"376",376,1.59,"2016-01-10",53,60,45,23,3.6,"Mombasa"
"377",377,1.43,"2016-01-10",47,53,40,14,5.4,"Eldoret"
"378",378,0.55,"2016-01-10",14,27,1,23,0.92,"Nairobi"
"379",379,0.18,"2016-01-10",29,39,18,19,2.92,"Nairobi"
"380",380,0.34,"2016-01-10",15,26,5,18,0.8,"Eldoret"
"381",381,0.38,"2016-01-10",27,37,16,18,4.31,"Nakuru"
"382",382,0.31,"2016-01-10",26,33,18,13,1.48,"Eldoret"
"383",383,0.41,"2016-01-10",28,42,14,12,2.14,"Malindi"
"384",384,1.23,"2016-01-10",33,43,23,21,7.78,"Kisumu"
"385",385,1.46,"2016-01-10",29,41,17,21,5.05,"Nakuru"
"386",386,0.68,"2016-01-10",35,45,25,22,6.18,"Kisumu"
"387",387,0.68,"2016-01-10",35,45,25,22,6.18,"Nairobi"
